bathrooms,bedrooms,desc,living_rooms,postcode,price,property_type,town_city
2,3,Hamptons are delighted to offer to the rental market a three double bedroom luxury apartment which has been refurbished to the highest of standards from top to bottom. The owner has taken care in all areas to showcase an outstanding apartment with ...,1,SW15,"4,200",flat,London
3,4,This luxury Townhouse has four double bedrooms and four modern fitted bathrooms arranged over four floors . The property offers a large en-suite master bedroom leading onto a large balcony ...,2,W12,"4,199",terraced house -,London
2,4,"An exceptional four double bedroom house in the very popular ""Munster Village"" of Fulham. This is a fantastic family house thanks to it's large kitchen / dining area with an orangery. The ...",1,SW6,"4,200",detached house,London
2,3,"Newcastle Boutique Apartments are delighted to let Quayside Apartments at 69 City Road, Newcastle NE1 2AQ. There are 1,2 and 3 bedroom apartments available to let on a short term basis from ...",1,NE1,"4,216",flat,Newcastle
2,2,"Nestled in the heart of Mayfair is this stunning newly refurbished spacious two double bedroom apartment. Located on the fourth floor of this popular portered block, the property further ...",1,W1J,"4,203",flat,London
,1,A magnificent First-floor apartment set within a private block consisting of four apartments has been individually designed with the highest specification allowing for space set in the heart ...,,W1K,"4,203",flat,London
1,2,"This stunning two double bedroom, seventh floor apartment is set within the heart of London’s fashionable Mayfair with rear facing views over Hay’s Mews. The apartment is set over 728 sq ft ...",1,W1J,"4,203",flat,London
2,2,"Nestled in the heart of Mayfair is this stunning newly refurbished spacious two double bedroom apartment. The apartment comprise two double bedrooms (master has en-suite), spacious reception ...",1,W1J,"4,203",flat,London
2,2,"This two bedroom conversion apartment is set in the heart of London’s fashionable Mayfair, neighbouring the famous Berkeley Square. The apartment is set over 728 sq ft and comprises, two spacious double bedrooms (the master with an en-suite bathroom), ...",1,W1J,"4,203",flat,London
2,1,Magnificent second-floor apartment set within a small private block has been individually designed with the highest specification allowing for maximum space. The apartment comprises a ...,1,W1K,"4,203",flat,London
2,1,"4th floor - 1 bedroom - 785sq ft - 2 bathrooms CCTV, Digital TV, Available furnished or unfurnished, Video Entry Desirably located in the heart of sought after Mayfair is this superb one ...",1,W1K,"4,203",flat,London
1,1,These serviced apartments Canary Wharf offer short stays on the doorstep of the Canary Wharf centre. Modern one and two bedroom serviced apartments in the nearest apartment complex to Canary ...,1,E14,"4,203",flat,London
2,3,Zero deposit guarantee available* A recently refurbished three bedroom 1359 sq ft split level apartment on the 4th and 5th floor with private internal lift access and outdoor space. The ...,1,SW7,"4,203",flat,London
3,4,"A beautiful four bedroom family house with a garage, measuring in excess of 2000 square feet. The house has been finished to a good standard throughout, the ground floor boasts a large ...",1,SW11,"4,203",detached house,London
2,3,"A beautifully presented, elegant 3 double bedroom, 2 bathroom penthouse maisonette located within a stunning stucco fronted building recently refurbished to a very high standard. The property ...",2,NW3,"4,203",maisonette,London
1,2,"A lovely two-bedroom apartment, comprising a large open-plan reception room leading onto a private balcony.",1,W2,"4,203",flat,London
,1,"This beautiful, modern and private first-floor apartment has been designed with the highest specification, compromising of a spacious reception room, stunning fitted kitchen, breakfast room, ...",,W1K,"4,203",flat,London
2,2,Lon-411128 Homelike is an online booking platform for furnished apartments for short to long stays. All bills and utilities are included in the monthly price Viewings are not available for ...,2,SW5,"4,200",flat,London
2,4,Virtual Tour - . Ucl 6-8-13 mins walk Uni of Westminster 13 mins walk Birkbeck uni - 14 mins walk London College of Fashion 14 min walk Soas - 15 mins walk London school of Hygiene & Tropical ...,,W1T,"4,200",flat,London
1,2,"General A selection of two bedroom retirement apartments situated in a fantastic location in the town of Henley-On-Thames, all benefitting from and a walk-out balcony or patio area. Tenants ...",1,RG9,"4,200",flat,Henley-On-Thames
1,1,"100% Ready For LivingFully furnished: Beds and bedding, linen, cutlery, towels, wifi…All inclusive: From bills to a weekly cleanStay-to-the-day – no fixed contractsEnd-To-End ServiceDedicated ...",1,NW1,"4,200",flat,London
6,6,Property Description student HMO property 2021/2022 academic year - This house is undergoing a complete renovation and is located in central Headington with access to Oxford Brookes ...,1,OX3,"4,200",semi-detached house,HMO
3,3,This spacious luxury riverside apartment is set on the fourth floor of Brunswick House within the sought-after Fulham Reach development close to the amenities of Hammersmith. The apartment is offered on a furnished basis and comprises; a large open ...,1,W6,"4,200",flat,London
2,3,"We are pleased to provide the opportunity to rent this first floor, luxuriously presented apartment located in Ravenscourt Park. This period apartment contains three bedrooms alongside two ...",1,W6,"4,225",flat,London
1,1,"Short let. Wonderfully located on a tree-lined residential square moments from Harrods department store, this stunning 1 bedroom flat provides an elegant living and entertaining space with a ...",1,SW3,"4,225",flat,London
3,3,"Beautifully presented and newly refurbished this three double bedroom apartment is set within the ever popular Boydell Court, conveniently located within the heart of St John's Wood. The ...",1,NW8,"4,225",flat,London
2,2,"Long let. Set within an elegant period building in the heart of Marylebone, this stunning 2 bedroom apartment benefits from a recent refurbishment throughout to an excellent standard. Baker ...",1,NW1,"4,225",flat,London
3,3,"The Cloister are pleased to offer this fantastic three bedroom spacious apartment. The property benefits from three large bedrooms, three bathrooms, spacious reception room and fully fitted ...",1,NW8,"4,225",flat,London
3,3,"Light and airy interior designed three bedroom apartment located in the lovely area of St John’s Wood. This property comprises of three spacious bedrooms, three bathrooms, one large reception ...",1,NW8,"4,225",flat,London
3,4,"A unique four bedroom townhouse with direct views across the Marina. Arranged over three levels, this exceptionally large house has floor to ceiling windows, three balconies and wooden ...",2,E14,"4,225",property,London
3,4,"Substantial town house extending to approximately 231.72 sqm (2,494 sq ft) arranged over 3 floors with an outstanding reception room on the top floor. Generous ground floor playroom/bedroom 4 ...",1,E14,"4,225",terraced house,London
,3,"A newly refurbished three bedroom apartment with private entrance and a large private patio with firepit. The property, which is presented fully furnished consists of a stylish reception room ...",,SW10,"4,225",property,London
2,3,"A stunning, recently refurbished three double bedroom, two bathroom apartment located on Hamlet Gardens in London W6. This apartment is accompanied with a large open plan duel aspect ...",1,W6,"4,225",flat,London
2,3,"A beautifully appointed three bedroom apartment located in the South of London's desirable Belgravia, moments from the excellent transport links of Victoria. Location Eccleston Street runs to ...",1,SW1W,"4,225",flat -,London
2,3,"This bright apartment would suit families, a couple or professional sharers with three double bedrooms. On the first level is a wonderful open-plan living space with kitchen area with large ...",1,W8,"4,225",flat -,London
2,2,A grand and extremely spacious two bedroom first floor apartment in this beautifully kept Victorian conversion with a large private balcony and access to Earls Court Square Gardens.Arguably ...,1,SW5,"4,225",flat -,London
2,3,This split level recently renovated three double bedroom property offers excellent entertaining space from its spacious open plan kitchen/reception room which includes high ceilings and ...,1,W8,"4,225",flat -,London
2,3,"Alexander Lewis delighted to present this popular purpose built mansion block. The flat comprises - spacious reception room with dining area, three double bedrooms, modern fully fitted ...",1,W2,"4,225",flat,London
1,1,This one bedroom flat offers great space in a fabulous location. All utilities are included as is porterage and maid service.,1,W1J,"4,222",flat,London
1,1,A spacious and attractive one bedroom apartment ideally located just off Curzon Street in Mayfair. This building offers excellent services with a porter and maid. All bills are included in the rent and the apartment is available for stays from 3 ...,1,W1J,"4,222",flat,London
2,3,"This spacious Shoreditch apartment comes fully furnished and all-inclusive with its own private lounge, kitchen and bathrooms. The interior has been carefully curated with high quality ...",1,E2,"4,220",flat,London
2,7,**student property** Upper Lewes Road is a residential street located close to Lewes Road. The property is located less than a mile from the main Brighton University campus and is well ...,1,BN2,"4,217",terraced house,Brighton
2,3,"Newcastle Boutique Apartments are delighted to let Quayside Apartments at 69 City Road, Newcastle NE1 2AQ. There are 1,2 and 3 bedroom apartments available to let on a short term basis from ...",1,NE1,"4,216",flat,Newcastle
3,3,"A stunning newly built 3 bedroom apartment situated in Wapping, on the twelfth floor, moments from Tower Bridge and The City. Set within the prestigious London Dock development, this spacious ...",1,E1W,"4,225",flat,London
3,3,"O.I.G Real Estate are pleased to bring to market this newly renovated three bedroom, three bathroom apartment situated in this gated reseidential development. The property benefits from wooden flooring, air conditioning, 24-hour concierge, passenger ...",1,NW8,"4,225",flat,London
1,3,"A spacious and bright fifth floor apartment situated in a modern purpose build block with a porter and lift access to all floors, within close proximity to Swiss Cottage Underground Station ...",1,NW8,"4,225",flat,London
2,3,Luxurious three bedroom apartment located on the fourth floor in the Vista Altissima Building at Chelsea Bridge Wharf. Spacious open plan kitchen with beautiful stone work surface fishes and ...,1,SW11,"4,225",flat,London
2,3,"Spacious three double bedroom apartment situated on the top floor (with lift) in this period redbrick building. Accommodation consist of a spacious reception room, modern fully fitted ...",1,W1K,"4,225",flat,London
2,2,Short let. This stunning 2 bedroom split-level flat has been recently refurbished boasting stylish interiors with high-specification fittings. Ideally located on The Strand in the heart of ...,1,WC2R,"4,225",maisonette,London
2,2,"A brand new luxury two bedroom, two bathroom apartment located within a beautifully restored portered development on Kensington Garden Square. The development further benefits from ...",1,W2,"4,225",flat,London
2,3,"We are delighted to offer this superb 3 double bedroom apartment set in the heart of mayfair, close to the renowned Grosvenor Square and Selfridges. The property is located on the 4th floor ...",1,W1K,"4,225",flat,London
3,4,"Kingwood Road, SW6 Furnished/Unfurnished 4Bed-3Bath-2Reception-Garden-Modern-Loads of Storage-East-West facing Fantastic House, Fully equipped, tick all the boxes Be quick, it will not last ...",2,SW6,"4,225",terraced house,London
3,3,"An immaculate, beautifully presented newly refurbished apartment of a popular purpose built development in sought after St Johns Wood. Boasting bespoke decor and high quality furnishings ...",1,NW8,"4,225",flat,London
,3,"This is a lovely spacious three bedroom, two bathroom apartment, with a communal garden. This is in a modern and secure portered building moments walk from Regent's Park. This property also ...",2,NW8,"4,225",flat,London
2,3,"Long let- This is a luxury three bedroom, two bathroom apartment situated on the first floor of a secure purpose built block with 24 hour concierge. The property boasts a spacious reception ...",1,NW8,"4,225",flat,London
3,3,"Newly Refurbished Three Double Bedroom Apartment - Located in a Modernised Portered Building in St. John's Wood. Spanning 1,066 Sq Ft (99 Sq Meters) Comprising Three Double Size Bedrooms with ...",,NW8,"4,225",flat,London
1,1,This beautiful first floor apartment is situated on sought after Onslow Gardens with a view of the well maintained garden square. The property has been refurbished to a high standard ...,1,SW7,"4,225",flat,London
2,2,"A 30th floor two bedroom apartment in the much sought after Heron. With its floor to ceiling windows and impressive views, this apartment is the perfect retreat after a busy day in the ...",1,EC2Y,"4,225",flat,London
,3,"Newly refurbished furnished three double bedroom apartment located on the 4th floor of this popular portered block in St Johns Wood. Offering fully fitted kitchen, double glazed windows and ...",,NW8,"4,225",flat,London
2,3,"Long let. Featuring bright, well proportioned interiors and neutral décor, this newly refurbished three bedroom apartment is located on the fourth floor of a gorgeous redbrick mansion block ...",1,W1K,"4,225",flat,London
2,3,"A bright and spacious three double bedrooms, two bathrooms apartment on the first floor (with lift) of this prestigious period mansion building. The property offers a large reception room, ...",2,SW10,,flat,London
2,3,"We are pleased to provide the opportunity to rent this first floor, luxuriously presented apartment located in Ravenscourt Park. This period apartment contains three bedrooms alongside two ...",1,W6,"4,225",flat,London
3,4,"Substantial town house extending to approximately 231.72 sqm (2,494 sq ft) arranged over 3 floors with an outstanding reception room on the top floor. Generous ground floor playroom/bedroom 4 ...",1,E14,"4,225",terraced house,London
,2,Key features: Interior Designed Fully Furnished2 Bedrooms2 BathroomsDouble Private TerraceConcierge ServicesResidents Gym & Spa Full description: A unique interior designed 2 bedroom ...,,EC3R,"4,225",flat,London
,2,"A stunning brand new interior designed, two bedroom, two bathroom second-floor apartment facing the courtyard set within this newly converted, warehouse style, gated development on the River ...",,W6,"4,225",flat,London
2,3,Set on the lower ground floor of this period conversion located in the center of Hampstead village and just a very short walk away from Hampstead underground station(Northern line). Is this ...,1,NW3,"4,225",flat,London
2,3,"Newly refurbished 1,100 sq. Ft 3 bedroom 2 bathroom apartment on the 1st floor in Boydell Court Ideal for Swiss Cottage, Primrose Hill, St Johns Wood High Street and Regents Park. Bespoke ...",1,NW8,"4,225",flat,London
1,1,"This superb first floor apartment is situated in this stunning, white, stucco fronted period building and boasts a plethora of period features as well as communal garden views. Having ...",1,SW7,"4,225",flat -,London
,2,"A bright and very well-presented two double bedroom apartment that has been interior designed to an exacting standard in the heart of Fulham. The property, which is available fully furnished, ...",,SW6,"4,225",flat,London
3,3,A beautiful interior designed three bedroom apartment in a sought after complex with 24 hour concierge and parking set in landscaped communal gardens. The flat is set on second floor and ...,1,NW8,"4,225",flat,London
1,1,Short let (1-6 mths). Bills included. Please quote OVA757 when calling in. Houst Lets is pleased to present this tastefully-decorated 1 bedroom home. At Houst all our properties are fully ...,1,SW3,"4,225",terraced house,London
2,2,An immaculate newly refurbished garden maisonette conveniently located in the heart of Little Venice. Location Little Venice is an extremely sought after location in W9. Many properties ...,1,W9,"4,225",flat,London
2,2,"A stunning new one-bedroom apartment at Princes Dock, available April 2020. Plaza 1821 isn't just a better way of renting, it's a better lifestyle. The apartment type is fully furnished in a ...",1,L3,"4,225",flat,Liverpool
,3,High spec apartment in hampstead villagestunning garden flat | 3 bed | 2 bath | private garden vacant and available now for £1100 per week,,NW3,"4,225",flat,London
3,3,"We are pleased to offer this stunning apartment in a sought after purpose built block, which comprises three double bedrooms with fitted in wardrobes, three bathrooms (2 en-suite), large ...",1,NW8,"4,225",flat,London
3,3,A newly refurbished three bedroom apartment within a gated development offering 24 hour porterage. The property has been interior designed and benefits from spacious reception and dining ...,1,NW8,"4,225",flat,London
3,4,"This beautiful family home boasts views of Limehouse Marina! Comprising a large (aircon'd) reception room with excellent entertaining space, 3 double bedrooms, 2nd reception/4th bedroom, ...",1,E14,"4,225",end terrace house,London
2,3,A stunning modern loft style penthouse property in a Grade II listed stucco fronted building just minutes from Hyde Park. The property comprises a split-level reception room overlooking a ...,1,W2,"4,225",flat,London
3,3,"An immaculate, beautifully presented newly refurbished apartment of a popular purpose built development in sought after St Johns Wood. Boasting bespoke decor and high quality furnishings ...",1,NW8,"4,225",flat,London
,3,"This is a lovely spacious three bedroom, two bathroom apartment, with a communal garden. This is in a modern and secure portered building moments walk from Regent's Park. This property also ...",2,NW8,"4,225",flat,London
3,3,This brand new refurbished stunning three bedroom three bathroom flat on the 4th floor of this well located block close to both St Johns Wood and The Finchley Road amenities. The property ...,2,NW8,"4,225",flat,London
3,3,"Newly Refurbished Three Double Bedroom Apartment - Located in a Modernised Portered Building in St. John's Wood. Spanning 1,066 Sq Ft (99 Sq Meters) Comprising Three Double Size Bedrooms with ...",,NW8,"4,225",flat,London
2,2,An exceptionally spacious two bedroom penthouse located a stones-throw away from Hyde Park and close to many varied amenities and transport links. The apartment benefits from 2 bedrooms and 2 ...,,W1K,"4,225",flat,London
2,3,"This is a wonderfully quiet 3 bedroom apartment that has recently been refurbished throughout. Situated on the 1st floor it boasts a double reception room, high ceilings, modern eat in ...",1,SW10,"4,225",flat,London
3,4,"Kingwood Road, SW6 Furnished/Unfurnished 4Bed-3Bath-2Reception-Garden-Modern-Loads of Storage-East-West facing Fantastic House, Fully equipped, tick all the boxes Be quick, it will not last ...",2,SW6,"4,225",terraced house -,London
3,3,"Available for rental, an interior designed three bedroom apartment set within this recently refurbished purpose built block located moments from Swiss Cottage tube station. The property is ...",1,NW8,"4,225",flat,London
1,3,A charming three-bedroom end of terrace cottage which enjoys a small patio garden and excellent natural light throughout. This property is superbly located just off the Brompton Road in a quiet tucked away position yet just a short walk to Harrods and ...,1,SW3,"4,225",end terrace house,London
2,2,"Spacious two bedroom, two bathroom lateral apartment situated on the third floor in a period block benefitting from a lift and day porter. The apartment has recently been newly redecorated ...",1,W1J,"4,225",flat,London
2,2,"A beautiful first floor apartment with period features and high ceilings overlooking the Earls Court Square communal gardens. Accommodation comprises: Two double bedrooms, ensuite shower ...",1,SW5,"4,225",flat,London
2,2,Newly decorated large 2 bedroom apartment in the heart of Knightbridge. With minutes from the bespoke boutiques of Sloane Street and fine eatery in heart of Knightbridge. Building has day ...,,"London,","4,225",flat,"London,"
2,3,"Bespoke interior designed three bedroom, two bathroom (1077sqft/100sqm) apartment positioned on the 2nd floor (with lift) of a higly regarded mansion block with 24h porter within a gated ...",2,NW8,"4,225",flat,London
3,3,"An immaculately newly refurbished three bedroom, three bathroom third floor purpose built flat in a private gated block. Newly refurbished throughout and new high quality wooden flooring ...",,NW8,"4,225",flat,London
3,3,"An immaculately interior designed three bedroom, three bathroom sixth floor purpose built flat in a private gated block. Newly refurbished throughout and new high quality wooden flooring ...",1,NW8,"4,225",flat,London
3,3,"We offer this 2nd floor property in this sought after purpose built block. The property comprises three double bedrooms, two en suite bathrooms, additional shower room, reception room and ...",1,NW8,"4,225",flat,London
2,3,This unique three bedroom duplex loft style apartment is based in the popular Hyde Park Square and has exposed brick work and wooden beams. The property also has access to communal gardens ...,1,W2,"4,225",flat,London
3,4,"A immaculately presented three double bedroom apartment set on the third floor within the ever popular Boydell Court, conveniently located in the heart of St John's Wood. The apartment offers ...",1,NW8,"4,225",flat,London
3,4,"Kingwood Road, SW6 Furnished/Unfurnished 4Bed-3Bath-2Reception-Garden-Modern-Loads of Storage-East-West facing Fantastic House, Fully equipped, tick all the boxes Be quick, it will not last ...",2,SW6,"4,225",terraced house,London
3,4,"Kingwood Road, SW6 Furnished/Unfurnished 4Bed-3Bath-2Reception-Garden-Modern-Loads of Storage-East-West facing Fantastic House, Fully equipped, tick all the boxes Be quick, it will not last ...",2,SW6,"4,225",terraced house,London
2,3,"This unique duplex apartment comprises 3 double bedrooms with fitted in wardrobes, 2 bathrooms (1 en suite), large reception room, seperate fully equipped kitchen and plenty of storage. The ...",1,W2,"4,225",flat,London
2,3,"This stunning first floor, newly refurbished apartment is located in beautiful Ravenscourt Park. This period apartment contains three bedrooms alongside two bathrooms which is based in this ...",1,W6,"4,225",flat,London
2,3,"This apartment provides a large amount of space as it comprises three double bedrooms with reasonable sized fitted wardrobes and one ensuite bathroom. Not only this, but it also provides a ...",1,W6,POA,flat,London
2,5,"** Inclusive of Gas, Electric and Water Rates ** A superb five-bedroom maisonette to rent moments from Angel tube station. The property is spread over three floors and comprises five double ...",,N1,"4,225",maisonette,London
3,4,"Kingwood Road, SW6 Furnished/unfurnished 4Bed-3Bath-2Reception-Garden-Modern-Loads of Storage-East-West facing Fantastic House, Fully equipped, tick all the boxes Be quick, it will not last ...",2,SW6,"4,225",terraced house,London
2,3,"An immaculately three bedroom apartment set on the 1st floor within this portered building in St. John's Wood with the amenities and transport links of Swiss Cottage, South Hampstead and St. ...",1,NW8,"4,225",flat,London
3,3,"O.I.G Real Estate are pleased to bring to market this newly renovated three bedroom, three bathroom apartment situated in this gated reseidential development. The property benefits from ...",1,NW8,"4,225",flat,London
2,3,"O.I.G Real Estate are pleased to bring to market this newly renovated three bedroom, two bathroom apartment situated in this gated reseidential development. The property benefits from tiled ...",1,NW8,"4,225",flat,London
2,3,"O.I.G Real Estate are pleased to bring to market this newly renovated three bedroom, two bathroom apartment situated in this gated reseidential development. The property benefits from air ...",1,NW8,"4,225",flat,London
3,3,"O.I.G Real Estate are pleased to bring to market this newly renovated three bedroom, three bathroom apartment situated in this gated reseidential development. The property benefits from ...",1,NW8,"4,225",flat,London
,2,"A stunning brand new interior designed, two bedroom, two bathroom second floor apartment facing the courtyard is set within this newly converted, warehouse style, gated development on the ...",,W6,"4,225",flat,London
2,2,"A simply stunning two double bedroom apartment set within an exclusive new luxury development located on the beautiful Kensington Garden Square, offering a concierge & underground parking. ...",1,W2,"4,225",flat,London
2,3,"This stunning first floor, newly refurbished apartment is located in beautiful Ravenscourt Park. This period apartment contains three bedrooms alongside two bathrooms which is based in this ...",1,W6,"4,225",flat,London
2,3,"This apartment provides a large amount of space as it comprises three double bedrooms with reasonable sized fitted wardrobes and one ensuite bathroom. Not only this, but it also provides a ...",1,W6,POA,flat,London
3,3,"An immaculately interior designed three bedroom, three bathroom sixth floor purpose built flat in a private gated block. Newly refurbished throughout and new high quality wooden flooring ...",1,NW8,"4,225",flat,London
3,3,"We offer this 2nd floor property in this sought after purpose built block. The property comprises three double bedrooms, two en suite bathrooms, additional shower room, reception room and ...",1,NW8,"4,225",flat,London
3,3,"An immaculately newly refurbished three bedroom, three bathroom third floor purpose built flat in a private gated block. Newly refurbished throughout and new high quality wooden flooring ...",,NW8,"4,225",flat,London
3,3,Excel Property Services are delighted to offer for rental a bespoke interior designed three bedroom apartment on the second floor set in this recently refurbished 1960’s purpose built block ...,1,NW8,"4,225",flat,London
3,3,"Available for rental, an interior designed three bedroom apartment set within this recently refurbished purpose built block located moments from Swiss Cottage tube station. The property is ...",1,NW8,"4,225",flat,London
2,3,"This is a wonderfully quiet 3 bedroom apartment that has recently been refurbished throughout. Situated on the 1st floor it boasts a double reception room, high ceilings, modern eat in ...",1,SW10,"4,225",flat,London
3,4,"Kingwood Road, SW6 Furnished/Unfurnished 4Bed-3Bath-2Reception-Garden-Modern-Loads of Storage-East-West facing Fantastic House, Fully equipped, tick all the boxes Be quick, it will not last ...",2,SW6,"4,225",terraced house -,London
2,3,"A grand set up welcomes you at this 3 bedroom/ 2-bath home with huge private secluded garden. Located in South Hampstead. Offers a distinctive living room, high ceilings, wonderful ...",1,NW6,"4,225",flat,London
1,3,** video tour available** We are pleased to offer this 1st floor newly refurbished 1 bedroom one bathroom period apartment set in this Victorian Mansion building having been renovated to the ...,1,W6,"4,225",flat,London
2,3,"**video tour available** ** special offer- one months rent free on any 12 month conracts agreed** Chestertons are delighted to offer the beautifully, newly restored apartment that is ...",1,W6,"4,225",flat,London
2,3,"**Video Tour Available**Chestertons are delighted to offer the beautifully, newly restored apartment that is available to rent in Ravenscourt Park. This period apartment is based on the 1st ...",1,W6,"4,225",flat,London
2,3,"A spacious three bedroom, three bathroom apartment positioned in the convenient and highly sought after location of St Johns Wood. The property lays on the first floor and consists of three ...",1,NW8,"4,225",flat,London
3,3,"3 bedroom 3 bathroom flat on the 4th floor of Boydell Court Ideal for Swiss Cottage station, Primrose Hill, St Johns Wood & Regents Park Bespoke interior design Air conditioning, lift 24hr ...",1,NW8,"4,225",flat,London
3,3,A recently refurbished and interior designed three bedroom apartment set on the fourth floor within this portered building in St. John's Wood. With the amenities and transport links of Swiss ...,1,NW8,"4,225",flat,London
3,3,Excel Property Services are delighted to offer for rental a bespoke interior designed three bedroom apartment on the first floor set in this recently refurbished 1960’s purpose built block ...,1,NW8,"4,225",flat,London
3,3,"Large three bedroom apartment set within a portered block with access to parking Location Despite being so close to Central London, St John’s Wood has retained a peaceful and village like ...",1,NW8,"4,225",flat,London
2,3,"A luxurious three bedroom apartment in a contemporary loft style apartment befitting it's penthouse position, with two double bedrooms and one single bedroom on a private garden square. ...",1,W2,"4,225",flat,London
2,3,"Evernest Properties presents this stunning, newly refurbished apartment is located in beautiful Ravenscourt Park. This period apartment contains three bedrooms alongside two bathrooms which ...",1,W6,"4,225",flat,London
3,3,"Boydell Court, St Johns Wood, NW8 long let- This is a luxury three bedroom, three bathroom apartment situated on the fourth floor of a secure purpose built block with 24 hour concierge. The ...",1,NW8,"4,225",flat,London
2,3,This period apartment contains three bedrooms alongside two bathrooms which is based in this Victorian Mansion Block having been renovated to the highest specification and set over 973 Sq Ft. ...,1,W6,"4,225",flat,London
3,3,Property Description A superb three bedroom penthouse apartment situated on the 9th floor of this secure gated apartment with 24 hour porterage and lift conveniently located within 0.3 miles of Swiss Cottage tube station. Parking is available by ...,1,"NW8,","4,225",flat,London
,3,"This stunning first floor, newly refurbished apartment is located in beautiful Ravenscourt Park. This period apartment contains three bedrooms alongside two bathrooms which is based in this ...",,W6,"4,225",flat,London
3,3,"Absolutely stunning newly refurbished 3 bedroom apartment. Offering a fantastic opportunity to rent this luxurious property comprising of 3 large double bedrooms, fully fitted kitchen with ...",1,NW8,"4,225",flat,London
3,3,"A 3 bedroomed flat (of approx. 1,025 sq.ft.) located on the 6th floor in this well maintained portered block between Swiss Cottage & St John's Wood. Boydell Court is located along St John's ...",1,NW8,"4,225",property,London
3,3,"Newly Refurbished Three Double Bedroom Apartment - Located in a Modernised Portered Building in St. John's Wood. Spanning 1,062 Sq Ft (98.66 Sq Meters) Comprising Three Double Size Bedrooms ...",,NW8,"4,225",flat,London
2,3,Available Now: A well presented three bedroom apartment within this smart portered block on the St John's Wood/Swiss Cottage border. The apartment is beautifully presented throughout with ...,1,NW8,"4,225",flat,London
2,3,"A stunning, recently refurbished spacious, 3 bedroom, 2 bathroom apartment set on the first floor within this luxury, 24 hour portered gated development. Interior designed to a very high ...",1,NW8,"4,225",flat,London
3,3,"A spacious and bright sixth floor apartment situated in a modern purpose build block with a porter and lift access to all floors, within close proximity to Swiss Cottage Underground Station ...",1,NW8,"4,225",flat,London
3,3,"This modern apartment comprises 3 double bedrooms with fitted in wardrobes, 3 bathrooms (3 en-suite), large reception area, fully equipped kitchen and plenty of storage. The property is ...",1,NW8,"4,225",flat,London
2,2,Spacious 2 bedroom 2 bathroom first floor period conversion located on Harley Street in the Heart of the Marylebone Village. The flat is recently renovated and light and bright,,W1G,"4,225",flat,London
3,3,Moonline Property are over the moon to offer this superb and beautifully presented 3- bedroom apartment located in St Johns wood. This Stunning newly refurbished apartment is situated in the ...,1,NW8,"4,225",flat,London
,3,"Newly refurbished and furnished three double bedroom apartment located on the 6th floor of this popular portered block in St Johns Wood. Offering fully fitted kitchen, double glazed windows ...",,NW8,"4,225",flat,London
3,3,"Long let- This is a luxury three bedroom, three bathroom apartment situated on the third floor of a secure purpose built block with 24 hour concierge. The property boasts a spacious ...",1,NW8,"4,225",flat,London
2,3,A well-presented and recently refurbished three bedroom apartment on the 6th floor of this well maintained purpose built block with 24 hour porterage. The property comprises of three ...,1,NW8,"4,225",flat,London
3,3,"We are delighted to offer this three bedroom, three bathroom apartment.. This property has been interior designed with beautiful tiled flooring throughout & brand new bathrooms. This purpose ...",1,NW8,"4,225",flat,London
3,3,"A fantastic three double bedroom luxury apartment located in a private gated development near the vibrant Finchley Road. This property has been finished to the highest standard, has three ...",1,NW8,"4,225",flat,London
3,3,"Recently Refurbished Three Double Bedroom Apartment - Located in a Modernised Portered Building in St. John's Wood. Spanning 1,062 Sq Ft (98.66 Sq Meters) Comprising Three Double Size ...",,NW8,"4,225",flat,London
3,3,"Long let- This is a luxury three bedroom, three bathroom apartment situated on the second floor of a secure purpose built block with 24 hour concierge. The property boasts a spacious ...",1,NW8,"4,225",flat,London
3,3,"A three bedroom newly refurbished apartment in this gated development offering 24 hour porters and off street parking. The apartment offers double glazed windows, air conditioning, fully ...",2,NW8,"4,225",flat,London
2,3,"Three-bedroom apartment in St John's Wood. UK Sothebsy International Realty presents this recently refurbished three-bedroom apartment (approx. 1,100 sq.ft.) on the first floor of this ...",2,NW8,"4,225",flat,London
3,3,"Three bedroom, three bathroom flat set on the 6th floor of this secure gated development.",1,NW8,"4,225",flat,London
3,3,"An immaculately interior designed three bedroom, three bathroom fifth floor purpose built flat in a private gated block. Newly refurbished throughout and new high quality wooden flooring ...",1,NW8,"4,225",flat,London
2,3,"We are pleased to provide the opportunity to rent this first floor, luxuriously presented apartment located in Ravenscourt Park. This period apartment contains three bedrooms alongside two ...",1,W6,"4,225",flat,London
2,3,"This newly refurbished three bedroom apartment is located on the fourth floor of a stunning redbrick mansion block just off Oxford Street, and moments from the world renowned Grosvenor ...",1,W1K,"4,225",flat,London
3,3,"Situated on the third floor of this private gated block, with the added security of a porter and CCTV monitoring, this interior designed and well presented three bedroom, three bathroom ...",1,NW8,"4,225",flat,London
3,3,A stunning three double bedroom apartment available furnished/unfurnished within this gated purpose built block in St John's Wood. The apartment is set on the 6th floor and comprises a ...,1,NW8,"4,225",flat,London
2,3,Beautifully refurbished and interior designed three bedroom flat on the first floor of this well maintained purpose built block in a portered gated development. The property is ideally ...,1,NW8,"4,225",flat,London
3,3,"Recently Refurbished Three Double Bedroom Apartment - Located in a Portered Building in St. John's Wood. Spanning 1,091 Sq Ft (101 Sq Meters) Comprising Three Double Size Bedrooms with Fitted ...",,NW8,"4,225",flat,London
